Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,57.9082516903546
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37769499
Afghanistan,AFG,Population in largest city,EN.URB.LCTY,4114030
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.167554744526
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Albania,ALB,Population in largest city,EN.URB.LCTY,484624
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.47
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.9303156808402
Algeria,DZA,"Population, total",SP.POP.TOTL,42705368
Algeria,DZA,Population in largest city,EN.URB.LCTY,2729325
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,236.605
American Samoa,ASM,"Population, total",SP.POP.TOTL,47321
American Samoa,ASM,Population in largest city,EN.URB.LCTY,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,162.431914893617
Andorra,AND,"Population, total",SP.POP.TOTL,76343
Andorra,AND,Population in largest city,EN.URB.LCTY,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,25.9513820486083
Angola,AGO,"Population, total",SP.POP.TOTL,32353588
Angola,AGO,Population in largest city,EN.URB.LCTY,8044735
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.5
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,209.356818181818
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92117
Antigua and Barbuda,ATG,Population in largest city,EN.URB.LCTY,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.4208266190179
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Argentina,ARG,Population in largest city,EN.URB.LCTY,15057273
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.84
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,99.0727783631893
Armenia,ARM,"Population, total",SP.POP.TOTL,2820602
Armenia,ARM,Population in largest city,EN.URB.LCTY,1083323
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.2
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,591.344444444444
Aruba,ABW,"Population, total",SP.POP.TOTL,106442
Aruba,ABW,Population in largest city,EN.URB.LCTY,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.29435141874306
Australia,AUS,"Population, total",SP.POP.TOTL,25340217
Australia,AUS,Population in largest city,EN.URB.LCTY,4870388
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.16
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.609306834707
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Austria,AUT,Population in largest city,EN.URB.LCTY,1915338
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.56
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,121.280071139933
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
Azerbaijan,AZE,Population in largest city,EN.URB.LCTY,2313138
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.7959823608398
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,40.4152847152847
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,404557
"Bahamas, The",BHS,Population in largest city,EN.URB.LCTY,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1915.62564102564
Bahrain,BHR,"Population, total",SP.POP.TOTL,1494188
Bahrain,BHR,Population in largest city,EN.URB.LCTY,600433
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
